forpoang,rec_gate,hylla_ny,struktur_kill,v23_status,v23_fel,src,kluster,namn,koncept,goods_id,url_se,alt_ids,dna,tier,elim,orsak,rec,rec_kalla,pris_usd,temu_pris_sek,vart_pris,golv_namn,golv_pris,ankare_namn,ankare_pris,se_pris,q4,hook,risk,temu_hamtad
58.0,GREEN,PASS,False,,,v22/fas2/garage-fordon.json,garage-fordon,"Universal Car Bumper Guard Strip, Anti-Scratch Trunk Sill Protector, Rubber Molded Mat, Door Sill Cover",Skydd över bakre stötfångarkanten när ägaren lastar bakluckan,606583044070656,https://www.temu.com/se/g-606583044070656.html,,48.0,C,economics,FAIL,25,snippet,3.0,,82,,,"Carlevel 'Lastskydd / stötfångarskydd' (modellanpassat, rostfritt/kolfiber)",599.0,,,Repar du lacken när du lastar bakluckan?,Ankaret 599–1 499 kr är modellanpassad rostfri plåt — vår produkt skulle vara en gummiflärp och ser alltså inte ut som ankaret (DNA:ts villkor för hyllundantaget). De listningar som finns är 3–7-dolla,False
58.0,GREEN,PASS,False,,,v22/fas2/garage-fordon.json,garage-fordon,"Universal Rear Bumper Protection Sticker for Cars, Covers Sill with Rubber Strips and Anti-Scratch Pads",Skydd över bakre stötfångarkanten när ägaren lastar bakluckan,601099518905378,https://www.temu.com/se/g-601099518905378.html,,48.0,C,economics,FAIL,99,snippet+,7.0,,191,,,"Carlevel 'Lastskydd / stötfångarskydd' (modellanpassat, rostfritt/kolfiber)",599.0,,,Repar du lacken när du lastar bakluckan?,Ankaret 599–1 499 kr är modellanpassad rostfri plåt — vår produkt skulle vara en gummiflärp och ser alltså inte ut som ankaret (DNA:ts villkor för hyllundantaget). De listningar som finns är 3–7-dolla,False
58.0,?,?,False,,,v22/fas2/ved-eldstad.json,ved-eldstad,"1pc chiminea cover heavy duty water resistant, woven polyester, H 101,6 cm / topp 27,94 cm / botten 60,96 cm (SE-titel: ",utekamin-overdrag,601099532324656,https://www.temu.com/g-601099532324656.html,,58.0,C,,PENDING_VERIFICATION,,,,,,,,,,,,Står regnvatten i eldkorgen nu?,Varianten. Måtten står i tum och gäller amerikanska chimineas; svenska eldkorgar har andra diametrar → returer.,False
58.0,?,?,False,,,v22/fas2/ved-eldstad.json,ved-eldstad,"chiminea cover / patio heater cover / patio fire pit cover, green 210D polyester",utekamin-overdrag,601099593941189,https://www.temu.com/g-601099593941189.html,,58.0,C,,PENDING_VERIFICATION,,,,,,,,,,,,Står regnvatten i eldkorgen nu?,Varianten. Måtten står i tum och gäller amerikanska chimineas; svenska eldkorgar har andra diametrar → returer.,False
58.0,?,?,False,,,v22/fas2/ved-eldstad.json,ved-eldstad,"durable waterproof outdoor chiminea cover, 20-32 cm x 60,96 cm x 48",utekamin-overdrag,601099623120121,https://www.temu.com/g-601099623120121.html,,58.0,C,,PENDING_VERIFICATION,,,,,,,,,,,,Står regnvatten i eldkorgen nu?,Varianten. Måtten står i tum och gäller amerikanska chimineas; svenska eldkorgar har andra diametrar → returer.,False
58.0,?,?,False,,,v22/fas2/ved-eldstad.json,ved-eldstad,"1pc chiminea cover heavy duty water-resistant weatherproof woven polyester, large, black",utekamin-overdrag,601099533843924,https://www.temu.com/g-601099533843924.html,,58.0,C,,PENDING_VERIFICATION,,,,,,,,,,,,Står regnvatten i eldkorgen nu?,Varianten. Måtten står i tum och gäller amerikanska chimineas; svenska eldkorgar har andra diametrar → returer.,False
58.0,?,?,False,,,v22/fas2/ved-eldstad.json,ved-eldstad,"1pc patio fire pit cover, waterproof breathable heavy duty, anti-UV och rivtåligt",utekamin-overdrag,601099514861082,https://www.temu.com/g-601099514861082.html,,58.0,C,,PENDING_VERIFICATION,,,,,,,,,,,,Står regnvatten i eldkorgen nu?,Varianten. Måtten står i tum och gäller amerikanska chimineas; svenska eldkorgar har andra diametrar → returer.,False
58.0,?,?,False,,,v23/dolda-parlor.json,dolda-parlor,Hjullyftrem / bärhandtag för vinterhjul (däckbytet),Rem med handtag som läggs runt ett komplett hjul (20–25 kg) så att det bärs från förrådet till bilen och lyfts mot navet med rak rygg och båda händerna. Däckbytet sker okt–nov = akut nu.,,,601099646596011,58.0,"ALTERNATIVE_LISTING_REQUIRED — en sista sökrunda på 'tire carrying strap', 'wheel lifting belt handle', 'tyre tote handle'; noll igen → FAIL strukturellt (formen finns inte).",,PENDING_VERIFICATION,,,,,349.0,Ej kontrollerad (ingen listning att jämföra mot). Biltema/Jula säljer hjulstege ,,UNKNOWN,,349.0,Q4 NOW,Lyfter du vinterhjulen med ryggen?,"Att formen inte existerar på Temu för att den inte behövs: ett hjul har redan ett grepp (fälgens hål), och Thansen-styrpinnen (89,95 kr) löser navproblemet billigare. Näst: däcken förvaras inomhus (ne",False
57.0,?,PASS,False,,,dataset(V2.1),jakt,"Outdoor heated multi-purpose seat cushion, 3-mode USB, Oxford cloth (ur sökträff)",Sittplatsen i tornet/passet,601099898313877,https://www.temu.com/se/g-601099898313877.html,,52.0,C (commodity),,,,,,,,"Pricerunner (USB-värmedyna, commodity)",155.0,"Hunter Heat Värmedyna (Jakt.se, rek. 599)",569.0,,,,Commodity-formen (155 kr) syns i samma flöde; utan Woodline-look ingen prismarginal.,False
57.0,?,PASS,False,,,dataset(V2.1),jakt,"Portable folding heated seat cushion, 3 levels, USB, waterproof polyester (ur sökträff)",Sittplatsen i tornet/passet,601099772450298,https://www.temu.com/se/g-601099772450298.html,,52.0,C (commodity),,,,,,,,"Pricerunner (USB-värmedyna, commodity)",155.0,"Hunter Heat Värmedyna (Jakt.se, rek. 599)",569.0,,,,Commodity-formen (155 kr) syns i samma flöde; utan Woodline-look ingen prismarginal.,False
57.0,?,PASS,False,,,v22/fas2/djur.json,djur,"dog run / kennel cover, waterproof outdoor (engelsk slug; svensk titel BLOCKED_SOURCE)","Regn-/vinterhuv till hundgarden - samma formsydda vav, hundagaren pa landet",601099527634155,https://www.temu.com/se/g-601099527634155.html,,52.0,C,,PASS,,,,,499.0,,,vidaXL Hundgard for utomhusbruk med tak 300x300x200 cm,11769.0,499.0,,Star hunden i regn i hundgarden?,De listningar som gick att prissatta ar for dyra (landad > 420 kr). Konceptet haller - listningen inte. ALTERNATIVE_LISTING_REQUIRED.,False
57.0,GREEN,?,False,REJECT-INTRESSANT,AUDIENCE FAILURE,v23/dolda-parlor.json,dolda-parlor,Solcellsbelysning med timer till hönshuset (dagsljusförlängning för värpning),Solcellslampa med separat panel och timer som ger hönsen 14 h 'dagsljus' i hönshuset från oktober så att värpningen inte upphör. Mörkret är exakt friktionen: värpningen faller när dagen blir kortare än ~12 h.,601100057690236,https://www.temu.com/se/g-601100057690236.html,601099605787702 601100784585507,52.0,"WATCH — samma villkor som hönsgårdshuven: testas bara som andra produkt mot samma köpare, eller om publiken kan bevisas > 100 000. Korrigera samtidigt djur.json (id:t är en lampa, inte en skrämma).",,"PASS på formen (ingen svensk hönshuslampa) men SVAGT — produkten ÄR en generisk solcellslampa med timer, och den kategorin är kedjornas (Biltema/Jula/Clas 199–399 kr). Ankarundantaget gäller inte åt vårt håll.",99,snippet+,13.0,,399.0,Ingen svensk hönshuslampa funnen (Granngården: kunskapsartikel utan produkt; Skå,,Generiska solcellslampor med separat panel: Biltema/Jula/Clas/Kjell 199–499 kr (,,399.0,Q4 NOW,Har hönsen slutat värpa?,"Publiken är under 100 000 och produkten är en generisk solcellslampa som Biltema säljer för 199 kr under annat namn — 'hönshuslampa' är en positionering, inte en form. Näst: 6 h vintersol laddar inte ",False
57.0,?,PASS,False,,,v22/fas2/garage-fordon.json,garage-fordon,"4pcs M12x1.25 / M12x1.5 / M14x1.25 / M14x1.5 Wheel Alignment Pin, Wheel Hanger Rim Stud Bolt Nut Tool for Changing Tires",Styrpinne/monteringsstift som skruvas i navet så hjulet kan hängas upp och centreras vid däckbytet,601099580856152,https://www.temu.com/se/g-601099580856152.html,,52.0,C,variant,FAIL,,,,,299.0,,,"Thansen 'Styrpinne för däckbyte M12x1,50' (även Motonet M14x1,5)",89.95,299.0,,Byter du hjulen själv i höst?,"Ankaret är 89,95 kr styck i svensk fackhandel — 300 kr går inte att ta. Och gängan är exakt den 'parameter ägaren måste mäta' som DNA:t pekar ut som farlig (mot motorhöljets hk, som han kan utantill).",False
57.0,?,PASS,False,,,v22/fas2/garage-fordon.json,garage-fordon,"Black Wheel Hangers Alignment Pin Guide Tool 12x1.5 / 14x1.25, Positioning Pin Dowel Mounting Guide Bolt",Styrpinne/monteringsstift som skruvas i navet så hjulet kan hängas upp och centreras vid däckbytet,601099519333198,https://www.temu.com/se/g-601099519333198.html,,52.0,C,variant,FAIL,,,,,299.0,,,"Thansen 'Styrpinne för däckbyte M12x1,50' (även Motonet M14x1,5)",89.95,299.0,,Byter du hjulen själv i höst?,"Ankaret är 89,95 kr styck i svensk fackhandel — 300 kr går inte att ta. Och gängan är exakt den 'parameter ägaren måste mäta' som DNA:t pekar ut som farlig (mot motorhöljets hk, som han kan utantill).",False
57.0,?,PASS,False,,,v22/fas2/garage-fordon.json,garage-fordon,"Wheel Hanger Pin Set 3pcs Pack, Wheel Stud Alignment Guide Tool M14 x P1.5, Wheel Stud Pilot Pin",Styrpinne/monteringsstift som skruvas i navet så hjulet kan hängas upp och centreras vid däckbytet,601099597196695,https://www.temu.com/se/g-601099597196695.html,,52.0,C,variant,FAIL,,,,,299.0,,,"Thansen 'Styrpinne för däckbyte M12x1,50' (även Motonet M14x1,5)",89.95,299.0,,Byter du hjulen själv i höst?,"Ankaret är 89,95 kr styck i svensk fackhandel — 300 kr går inte att ta. Och gängan är exakt den 'parameter ägaren måste mäta' som DNA:t pekar ut som farlig (mot motorhöljets hk, som han kan utantill).",False
57.0,?,PASS,False,,,v22/fas2/garage-fordon.json,garage-fordon,"Wheel Alignment Pin M14x1.5 / M12x1.5 Wheel Hanger Rim Bolt Guide Pin, Stainless Steel",Styrpinne/monteringsstift som skruvas i navet så hjulet kan hängas upp och centreras vid däckbytet,601099516729546,https://www.temu.com/se/g-601099516729546.html,,52.0,C,variant,FAIL,,,,,299.0,,,"Thansen 'Styrpinne för däckbyte M12x1,50' (även Motonet M14x1,5)",89.95,299.0,,Byter du hjulen själv i höst?,"Ankaret är 89,95 kr styck i svensk fackhandel — 300 kr går inte att ta. Och gängan är exakt den 'parameter ägaren måste mäta' som DNA:t pekar ut som farlig (mot motorhöljets hk, som han kan utantill).",False
57.0,?,PASS,False,,,v22/fas2/garage-fordon.json,garage-fordon,"8pcs Set Wheel Stud Alignment Pin Set, Steel Alloy Fixed Alignment Tool M14x1.5/1.25, M12x1.5/1.25",Styrpinne/monteringsstift som skruvas i navet så hjulet kan hängas upp och centreras vid däckbytet,601099537008204,https://www.temu.com/se/g-601099537008204.html,,52.0,C,variant,FAIL,,,,,299.0,,,"Thansen 'Styrpinne för däckbyte M12x1,50' (även Motonet M14x1,5)",89.95,299.0,,Byter du hjulen själv i höst?,"Ankaret är 89,95 kr styck i svensk fackhandel — 300 kr går inte att ta. Och gängan är exakt den 'parameter ägaren måste mäta' som DNA:t pekar ut som farlig (mot motorhöljets hk, som han kan utantill).",False
57.0,?,PASS,False,,,v22/fas2/garage-fordon.json,garage-fordon,"8pcs Universal Wheel Stud Alignment Pins, Automotive Wheel Hanger Positioning Guide Tool Set for Cars with Lug Bolts",Styrpinne/monteringsstift som skruvas i navet så hjulet kan hängas upp och centreras vid däckbytet,601099572766116,https://www.temu.com/se/g-601099572766116.html,,52.0,C,variant,FAIL,,,,,299.0,,,"Thansen 'Styrpinne för däckbyte M12x1,50' (även Motonet M14x1,5)",89.95,299.0,,Byter du hjulen själv i höst?,"Ankaret är 89,95 kr styck i svensk fackhandel — 300 kr går inte att ta. Och gängan är exakt den 'parameter ägaren måste mäta' som DNA:t pekar ut som farlig (mot motorhöljets hk, som han kan utantill).",False
57.0,GREEN,?,False,,,v22/fas2/tomt.json,tomt,Outdoor 1pc 73 Inch Bird Feeder Pole Heavy Duty Shepherd's Hook With 5-Prong Base,fågelmatarstolpe (alternativ listning),605990036540200,https://www.temu.com/se/g-605990036540200.html,,52.0,C,,PENDING_VERIFICATION,42,snippet,14.0,,399.0,,,,,399.0,,Kommer katten åt din fågelmatare?,"Betyg 4,0–4,4 är lägst bland kandidaterna — kvalitetsrisk på en produkt som ska stå ute hela vintern.",False
57.0,GREEN,?,False,,,v22/fas2/tomt.json,tomt,"Bird House Pole Adjustable 60–102 Inch, 5-Prong Windproof Stake With Mounting",fågelmatarstolpe (alternativ listning),601101052027566,https://www.temu.com/se/g-601101052027566.html,,52.0,C,,PENDING_VERIFICATION,36,snippet,11.0,,399.0,,,,,399.0,,Kommer katten åt din fågelmatare?,"Betyg 4,0–4,4 är lägst bland kandidaterna — kvalitetsrisk på en produkt som ska stå ute hela vintern.",False
57.0,?,WARN-utan-ankare,False,VERIFY,—,v23/present-hobby.json,present-hobby,Spinnarbyggsats 155–228 delar – gör dina egna spinnare,"Komplett byggsats för inline-spinnare: spinnarblad, kroppar, pärlor, wire, byglar, trekrokar, ofta liten tång — i sorteringslåda. Vinterhobbyn för fiskaren: bygger drag i november–mars till nästa säsong. Present som säger 'jag vet att du fiskar' och samtidigt en aktivitet.",601100910111663,https://www.temu.com/-spinner-making-kit-fishing-lure-making-kit--lures-trout-lures--inline-spinners-spinnerbaits-lure-making-kit-228pcs-155pcs-107pcs-g-601100910111663.html,601100146291462 601105436848678,62.0,PENDING_VERIFICATION — huvudsessionen läser pris/betyg på 601100910111663; PASS ≤ 15 USD (449 kr) eller ≤ 17 USD (499 kr).,,"PASS med villkor — ingen kedja (Biltema/Jula/Clas/Rusta) har formen; fackhandeln säljer mindre satser (10–20 spinnare, 279–389 kr). Vår sats måste synligt ge 2–3× fler spinnare (155+ delar, 40+ drag) för 449 kr, annars är Örjans billigare per drag. Marketplace (Fyndiq/Amazon.se) ej kontrollerad för ",,,,,449.0,"Örjans Fiske – Göra egna spinnare, byggsats ca 20 spinnare (utan krokar)",279.0,Örjans Fiske ordinarie pris samma sats 389 kr; Sportfiskeboden DIY-kit 199–329 k,389.0,449.0,BLACK WEEK / GIFT,Bygger du egna spinnare i vinter?,"Temu-priset kan ligga 20–35 USD för 155+ delar → FAIL på 2,4×. Kvalitet på krokar/wire (recensioner oläst). 'Kit' är negativ rymd i fingeravtrycket — bärs här av presentklockan, inte av behov.",False
56.0,?,?,False,,,v22/fas2/djur.json,djur,"heavy duty fence/farm gate wheel, adjustable U-bolt, anti-sagging caster (engelsk slug; svensk titel BLOCKED_SOURCE)",Stodhjul till grinden - hjul med U-bygel som bar upp en hangande grind sa den gar att oppna i lera,601101540545415,https://www.temu.com/se/g-601101540545415.html,,56.0,C,,PENDING_VERIFICATION,,,,,449.0,,,"Stodhjul for grind kraftig (Djurgardens Ridsport, hastfackhandel)",,449.0,,Slapar grinden i leran?,"Bada listningarna med pris ($45 och $85) landar over 420 kr = over 1000 kr-taket. Konceptet haller, listningarna inte - de billiga varianterna saknar prisuppgift. ALTERNATIVE_LISTING_REQUIRED.",False
56.0,?,?,False,,,v22/fas2/djur.json,djur,"heavy duty fence/farm gate wheel, adjustable U-bolt, anti-sagging caster (engelsk slug; svensk titel BLOCKED_SOURCE)",Stodhjul till grinden - hjul med U-bygel som bar upp en hangande grind sa den gar att oppna i lera,601102414551615,https://www.temu.com/se/g-601102414551615.html,,56.0,C,,PENDING_VERIFICATION,,,,,,,,"Stodhjul for grind kraftig (Djurgardens Ridsport, hastfackhandel)",,,,Slapar grinden i leran?,"Bada listningarna med pris ($45 och $85) landar over 420 kr = over 1000 kr-taket. Konceptet haller, listningarna inte - de billiga varianterna saknar prisuppgift. ALTERNATIVE_LISTING_REQUIRED.",False
56.0,?,?,False,,,v22/fas2/djur.json,djur,"heavy duty fence/farm gate wheel, adjustable U-bolt, anti-sagging caster (engelsk slug; svensk titel BLOCKED_SOURCE)",Stodhjul till grinden - hjul med U-bygel som bar upp en hangande grind sa den gar att oppna i lera,601102415516530,https://www.temu.com/se/g-601102415516530.html,,56.0,C,,PENDING_VERIFICATION,,,,,,,,"Stodhjul for grind kraftig (Djurgardens Ridsport, hastfackhandel)",,,,Slapar grinden i leran?,"Bada listningarna med pris ($45 och $85) landar over 420 kr = over 1000 kr-taket. Konceptet haller, listningarna inte - de billiga varianterna saknar prisuppgift. ALTERNATIVE_LISTING_REQUIRED.",False
56.0,?,?,False,,,v22/fas2/djur.json,djur,"heavy duty fence/farm gate wheel, adjustable U-bolt, anti-sagging caster (engelsk slug; svensk titel BLOCKED_SOURCE)",Stodhjul till grinden - hjul med U-bygel som bar upp en hangande grind sa den gar att oppna i lera,601101084638345,https://www.temu.com/se/g-601101084638345.html,,56.0,C,,PENDING_VERIFICATION,,,,,,,,"Stodhjul for grind kraftig (Djurgardens Ridsport, hastfackhandel)",,,,Slapar grinden i leran?,"Bada listningarna med pris ($45 och $85) landar over 420 kr = over 1000 kr-taket. Konceptet haller, listningarna inte - de billiga varianterna saknar prisuppgift. ALTERNATIVE_LISTING_REQUIRED.",False
55.0,?,PASS,False,,,dataset(V2.1),bat,"Outboard saver trailering support, fits 2 trim systems, wedge + stop clips 2 pcs",Utombordare med power-trim på trailerbåt,601100200308437,https://www.temu.com/se/g-601100200308437.html,,50.0,C (latent behov),,,,,,,,Osculati 539 kr stångtyp (PR),539.0,"Attwood Transom Saver (UMS Boat, 58–89 cm)",749.0,,,,samma som 601100312972322,False
55.0,?,PASS,False,,,dataset(V2.1),bat,"2 pcs boat trailer guides, 20 in carpeted bunk boards kit with frames",Båttrailer,601100131470883,https://www.temu.com/se/g-601100131470883.html,,50.0,B (dubblett),,,,,,,,PR: VEVOR 'Båttrailerguide 2 st justerbara korta britsguider' 750 kr — samma for,750.0,VEVOR Båttrailerstyrningar 700–1050 mm 2 st (Pricerunner),850.0,,,,samma som guide poles + tyngre frakt,False
55.0,?,PASS,False,,,dataset(V2.1),djur,,hönshusets lucka,601103331613427,https://www.temu.com/se/g-601103331613427.html,,50.0,C (tre flaggor),,,,,,,,Granngården: Automatisk hönslucka Kerbl 300×400 och 430×400 (1 313–1 899 kr på P,1313.0,ChickenGuard Locking Combi Premium,1881.0,,,,"Tre negativa-rymd-markörer på en gång: montering, förklaring, förtroende — kameran klarade det bara med 799 kr och rädsla; här finns rädslan (räven) men inte bevisat materialet",False
55.0,?,?,False,,,dataset(V2.1),garage,"EV Charger Port Cover — Outdoor Waterproof Winter Snow Rain UV, Magnetic Attachment (steel-bodied EVs)",Elbilens laddport,601105717142938,https://www.temu.com/se/g-601105717142938.html,,55.0,C,economics,,,,,,,Fyndiq,,,,,,,"Samma produktklass som Tier B-syskonen till 2,5× inköpspriset",False
55,?,?,False,,,dataset(V2.1),jakt,Binocular harness strap adjustable deluxe for hunting (sökträff: 'This item was discontinued'),Handkikare,602352702587042,https://www.temu.com/se/g-602352702587042.html,,,ELIM,shelf,Ren rem-form = samma form som Max-On Kikarsele Pro 149 kr (Hylte). Dessutom utgången listning.,,,,,,,,,,,,,Utgången.,False
55.0,?,PASS,False,,,dataset(V2.1),jakt,"Dog bath towel robe, quick-drying absorbent hooded dog bathrobe, adjustable (ur sökträff)",Jakthunden,601099604588367,https://www.temu.com/se/g-601099604588367.html,,50.0,C,,,,,,,,Zoofackhandel via Pricerunner,319.0,Siccaro Smart Drying Coat,799.0,,,,Storleksvalet (rygglängd) + Siccaro/Rukka annonserar själva — vi blir look-alike utan att äga ankaret.,False
55.0,?,PASS,False,,,dataset(V2.1),jakt,"Super absorbent microfiber dog bathrobe S–XL, warm keeping drying coat (ur sökträff)",Jakthunden,601100331031944,https://www.temu.com/se/g-601100331031944.html,,50.0,C,,,,,,,,Zoofackhandel via Pricerunner,319.0,Siccaro Smart Drying Coat,799.0,,,,Storleksvalet (rygglängd) + Siccaro/Rukka annonserar själva — vi blir look-alike utan att äga ankaret.,False
55,?,?,False,,,dataset(V2.1),jakt,"Reflective dog vest flame-orange (ur WebFetch hunting-dog-vest-s, $12.03)",Jakthunden,606573330037589,https://www.temu.com/se/g-606573330037589.html,,,ELIM,shelf,"Reflexväst hund finns för 62–64 kr (Millu, PETCARE — Pricerunner 2026-09-04) = samma form, commodity.",,,,,,,,,,,,,"Reflexväst hund finns för 62–64 kr (Millu, PETCARE — Pricerunner 2026-09-04) = samma form, commodity.",False
55,?,?,False,,,dataset(V2.1),jakt,"2pcs dog reflective vest high visibility (ur WebFetch, $14.47)",Jakthunden,601102908589955,https://www.temu.com/se/g-601102908589955.html,,,ELIM,shelf,Samma: 62–64 kr commodity.,,,,,,,,,,,,,Samma: 62–64 kr commodity.,False
55,?,?,False,,,dataset(V2.1),jakt,"Adjustable coyote-proof dog vest harness with zipper, small–medium breeds (ur sökträff)",Jakthunden,601099927608371,https://www.temu.com/se/g-601099927608371.html,,,ELIM,shelf,"Små hundar, storlekar; svensk skyddsväst (Genzo 2 395–2 999) är en förtroendeprodukt vi inte kan matcha.",,,,,,,,,,,,,"Små hundar, storlekar; svensk skyddsväst (Genzo 2 395–2 999) är en förtroendeprodukt vi inte kan matcha.",False
55,?,?,False,,,dataset(V2.1),jakt,"Dog car seat cover hammock with hard bottom, holds 330 lbs (ur sökträff)",Bilens baksäte + hunden,601099610415303,https://www.temu.com/se/g-601099610415303.html,,,ELIM,shelf,"Samma form (hängmatta/baksätesskydd) finns brett: Trixie Car Seat Cover 224, Teknikproffset 138, Kurgo 599, Trixie delbart 240–418 (Pricerunner 2026-09-04). Biltema/Jula ej verifierade men kategorin är mass-commoditiserad.",,,,,,,,,,,,,Hyllan.,False
55,?,?,False,,,dataset(V2.1),jakt,"Waterproof dog hammock for cars/SUV with hard bottom, mesh window (ur sökträff)",Bilens baksäte + hunden,601099676550516,https://www.temu.com/se/g-601099676550516.html,,,ELIM,shelf,"Samma form (hängmatta/baksätesskydd) finns brett: Trixie Car Seat Cover 224, Teknikproffset 138, Kurgo 599, Trixie delbart 240–418 (Pricerunner 2026-09-04). Biltema/Jula ej verifierade men kategorin är mass-commoditiserad.",,,,,,,,,,,,,Hyllan.,False
55,?,?,False,,,dataset(V2.1),jakt,"Deer drag sled / ice fishing sled with rope, multi-purpose game sled (ur sökträff)",Viltet / jaktmarken (ingen ägd sak),601099993015937,https://www.temu.com/se/g-601099993015937.html,,,ELIM,shelf,Samma form finns: 'Jaktpulka Låg Rygg Dragtråd Svart' 499 kr (Pricerunner 2026-09-04). Dessutom skrymmande = dyr frakt.,,,,,,,,,,,,,Hyllan + frakt.,False
55,?,?,False,,,dataset(V2.1),jakt,Multi-functional deer drag heavy duty utility sled with pull cable (ur sökträff),Viltet / jaktmarken (ingen ägd sak),601099658421093,https://www.temu.com/se/g-601099658421093.html,,,ELIM,shelf,Samma form finns: 'Jaktpulka Låg Rygg Dragtråd Svart' 499 kr (Pricerunner 2026-09-04). Dessutom skrymmande = dyr frakt.,,,,,,,,,,,,,Hyllan + frakt.,False
55,?,?,False,,,dataset(V2.1),jakt,"2pcs foldable outdoor seat pad, waterproof thermal, Oxford (ur sökträff)",Sittplatsen (universell),601099522371360,https://www.temu.com/se/g-601099522371360.html,,,ELIM,shelf,"Samma form: 5etta Sittunderlag ihopvikbart 49–69 kr, Woolpower 99, Härkila 149 (Hylte/Pricerunner 2026-09-04) — mass-commodity.",,,,,,,,,,,,,Hyllan.,False
55,?,?,False,,,dataset(V2.1),jakt,"Four-fold XPE outdoor cushion, honeycomb, hunting cushion (ur sökträff)",Sittplatsen (universell),606037348299126,https://www.temu.com/se/g-606037348299126.html,,,ELIM,shelf,"Samma form: 5etta Sittunderlag ihopvikbart 49–69 kr, Woolpower 99, Härkila 149 (Hylte/Pricerunner 2026-09-04) — mass-commodity.",,,,,,,,,,,,,Hyllan.,False
55,?,?,False,,,dataset(V2.1),jakt,2-pack folding hunting tripod stool with shoulder strap (ur sökträff),Sittplatsen (universell),603089893465746,https://www.temu.com/se/g-603089893465746.html,,,ELIM,shelf,5etta Jaktstol trebent 369–498 kr (Hylte/Pricerunner) = samma form.,,,,,,,,,,,,,5etta Jaktstol trebent 369–498 kr (Hylte/Pricerunner) = samma form.,False
55,?,?,False,,,dataset(V2.1),jakt,"Folding portable stool, titanium alloy bracket, with carry bag (ur sökträff)",Sittplatsen (universell),601099571255467,https://www.temu.com/se/g-601099571255467.html,,,ELIM,shelf,Samma: trebensstol finns brett.,,,,,,,,,,,,,Samma: trebensstol finns brett.,False
55,?,?,False,,,dataset(V2.1),jakt,"Heavy duty folding backpack chair / backrest stool for camping, hunting, fishing (ur sökträff)",Sittplatsen (universell),606204784927640,https://www.temu.com/se/g-606204784927640.html,,,ELIM,shelf,"Stolsryggsäck: 5etta Berge 449, Mil-Tec 349–357, Abu Garcia 504 (Pricerunner 2026-09-04) = samma form.",,,,,,,,,,,,,"Stolsryggsäck: 5etta Berge 449, Mil-Tec 349–357, Abu Garcia 504 (Pricerunner 2026-09-04) = samma form.",False
55,?,?,False,,,dataset(V2.1),mc,,ATV-kapell 190T Oxford (alternativ listning),601099548739091,https://www.temu.com/se/g-601099548739091.html,,,ELIM,shelf,som ovan [ur minne — WebSearch-budgeten var slut och biltema/jula/clasohlson/rusta svarade 403/404 2026-09-04; EJ verifierat],,,,,,Biltema (troligen),,,,,,,samma som huvudlistningen,False
55.0,?,PASS,False,,,dataset(V2.1),vatten,1000L IBC tank cover waterproof insulated UV (de-en),IBC-tank,601099554092916,https://www.temu.com/se/g-601099554092916.html,,50.0,ELIM,shelf,"Samma form som vår egen vinnare IBC-överdraget — ingen ny kategori, bara en vinterinkling på befintlig produkt",,,,,,"Bäverbutiken (IBC-överdraget, vinnare 40 köp)",489.0,,,,,,Är samma produkt som vinnaren; 'frostskydd' på 1000 l vatten är ett tomt löfte. Vinkeln 'vinterförvaring/UV' kan testas som ny creative på befintlig produkt i stället.,False
55.0,?,?,False,,,dataset(V2.1),ved,"Vedställsöverdrag 4 ft 500D, 48×24×41 tum (fast mått)",vedställ utomhus,601100317742962,https://www.temu.com/se/g-601100317742962.html,,55.0,C,variant,"Fast mått i tum för ett amerikanskt standardställ; svensk ägare måste mäta och gissa → returrisk. #1 (4–8 ft, spännen) täcker samma behov bättre.",,,,,,UNKNOWN,,,,,,,Måttet.,False
55,?,?,False,,,v22/fas2/bat.json,bat,"Boat cover 800D 22 ft heavy duty waterproof, fits V-hull fish&ski, with storage bag",kapell-och-overdrag-bat-kajak,601104640447212,https://www.temu.com/se/g-601104640447212.html,,,ELIM,shelf,FAIL,,,,,,,,"Biltema Båtuppläggning: båtöverdrag, båtpresenning, båtstöttor, täckställning (f",,,,,Redan testad kategori i kontot och Biltemas kärnsortiment.,False
55,?,?,False,,,v22/fas2/bat.json,bat,Heavy duty reinforced 420D kayak canoe cover,kapell-och-overdrag-bat-kajak,601100780626348,https://www.temu.com/se/g-601100780626348.html,,,ELIM,shelf,FAIL,,,,,,,,"Biltema Båtuppläggning: båtöverdrag, båtpresenning, båtstöttor, täckställning (f",,,,,Redan testad kategori i kontot och Biltemas kärnsortiment.,False
55,?,?,False,,,v22/fas2/bat.json,bat,"Boat cover replacement for jon boats 14 ft, heavy duty marine grade, trailerable",kapell-och-overdrag-bat-kajak,601099703178480,https://www.temu.com/se/g-601099703178480.html,,,ELIM,shelf,FAIL,,,,,,,,"Biltema Båtuppläggning: båtöverdrag, båtpresenning, båtstöttor, täckställning (f",,,,,Redan testad kategori i kontot och Biltemas kärnsortiment.,False
55,?,?,False,,,v22/fas2/bat.json,bat,Universal tow bar ball cover cap (dragkulskydd),dragkulskydd,601099519676457,https://www.temu.com/se/g-601099519676457.html,,,ELIM,shelf,FAIL,,,,,,,,,,,,,"Biltema Dragskydd 99,90 kr (fastställt i husvagnsklustret).",False
