status,fel,källa,namn,goods_id,temu_url,pris,live,dna,q4,golv,material,orsak,agent_status
HARD REJECT,MARKETPLACE FAILURE,present/hobby,Isborradapter för skruvdragare med säkerhetsplatta (isfiske),601099610454170,https://www.temu.com/se/g-601099610454170.html,UNKNOWN,nej,34,OCTOBER→december (isen lägger sig dec–jan),"PriceRunner 'isborr adapter' 49 produkter från 69 kr; Hurricane adapter 22 mm med platta (Miekofishing); Bojdaspön, Olssons Fiske — 69 kr",ej sett,PriceRunner 49 isborradaptrar från 69 kr; isen lägger sig dec–jan (även säsong).,REJECT (lärorikt): fackhandeln har 49 varianter.
HARD REJECT,MARKETPLACE FAILURE,evergreen,TPMS däcktrycksövervakning med solcellsdisplay (bil/släp),601104238416714,https://www.temu.com/se/g-601104238416714.html,UNKNOWN,nej,33,EVERGREEN,"Biltema TPMS (egen kategori, syns på Tradera 'Biltema Däcktrycksövervakning TPMS'; pris ej läst, 403)",ej sett,Biltema egen TPMS-kategori; latent behov + montering.,FAIL (negativ rymd + hylla)
HARD REJECT,MARKETPLACE FAILURE,dolda pärlor,Sätesvärmare 12 V för traktor/bil/ATV (värmedyna med cigguttag),601099512737873,https://www.temu.com/se/g-601099512737873.html,UNKNOWN,nej,32,OCTOBER,"Jula Hamron Värmedyna 12 V, tre lägen ~199 kr; Biltema Elvärmesits 12 V (art. 2000020462, rygg + sits, pris ej läst); Autodoc Compass 270–340 kr; Sagro 'Värmedyna sätesvärmare 12V traktor & bil' 375 kr (vid 2 st) — 199 k",ej sett,"Jula Hamron värmedyna 12 V 199 kr, Biltema, 73 modeller på PriceRunner.","FAIL (hyllan: Jula 199 kr, Biltema, 73 modeller på PriceRunner)."
HARD REJECT,MARKETPLACE FAILURE,present/hobby,Överlevnads-/verktygsadventskalender 24 dagar (herr),601103574007559,https://www.temu.com/se/g-601103574007559.html,UNKNOWN,nej,30,BLACK WEEK / GIFT,"Amazon.se, CDON (Fuleadture) och Fyndiq säljer redan Temu-typens överlevnadskalender; julafton.se listar 'Adventskalender med överlevnadskit' 499 kr — 499 kr",ej sett,"Amazon.se, CDON och Fyndiq säljer identisk Temu-typ-kalender ~499 kr.",REJECT.
HARD REJECT,MARKETPLACE FAILURE,present/hobby,Dubbelt smörgåsjärn i gjutjärn för öppen eld (pie iron),601102412056295,https://www.temu.com/se/g-601102412056295.html,UNKNOWN,nej,30,BLACK WEEK / GIFT,"Jula Kayoba Smörgåsjärn dubbelt, gjutjärn, 54 cm — 199 kr (ur sökutdrag); Bauhaus Briv dubbelt (pris oläst) — 199 kr",ej sett,Jula Kayoba smörgåsjärn gjutjärn 199 kr.,REJECT.
HARD REJECT,MARKETPLACE FAILURE,evergreen,"Bakluckeljus / bagagerumsbelysning LED med rörelsesensor, magnetisk, uppladdningsbar",601099525129373,https://www.temu.com/se/g-601099525129373.html,UNKNOWN,nej,30,EVERGREEN,"Fyndiq trådlös LED-belysning bil 2/4-pack 186 kr; garderobsbelysning magnet/sensor 330 kr (ur sökutdrag); Biltema 'LED belysning, magnetbrytare, 2 st' 2000034386 (pris ej läst); 24.se LED-lampa rörelsesensor magnetisk — ",ej sett,Fyndiq LED-belysning bil 186 kr; commodity under 199 kr.,FAIL (pris/hylla)
HARD REJECT,SEASONAL FAILURE,dolda pärlor,Isfrihållare / dammvärmare till trädgårdsdamm (hål i isen för fiskarna),,https://www.temu.com/search_result.html?search_key=pond%20de-icer%20floating%20ice%20preventer  (söklänk — ingen produktlistning finns på Temu),UNKNOWN,nej,30,OCTOBER (köp) — men skadan i januari,Dammcenter 'Isfri frigolit' (pris ej läst); Oase IceFree 4 Seasons 799 kr (Zoogiganten) — 799 kr,—,Skadan kommer i jan–feb (kranskyddsfällan); Oase IceFree i hela fackhandeln 799 kr.,FAIL (presens: skadan i jan–feb; hyllan: Oase i hela fackhandeln). Ärligt svar på uppdragets fråga: 'isfri-produkter' är kranskyddet igen.
HARD REJECT,MARKETPLACE FAILURE,dolda pärlor,"Elstängselprovare (spänningsmätare för elstängsel, 8 lampor)",601099522307050,https://www.temu.com/se/g-601099522307050.html,UNKNOWN,nej,30,EVERGREEN,"Biltema Stängselprovare (art. 2000023327, pris ej läst — 403) i egen elstängselkategori; Granngården 'Stängseltestare för elstängsel' (kategori med flera modeller); Lantkompaniet 'Stängselprovare 5 steg, upp till 8 000 V",ej sett,"Biltema egen elstängselkategori, Granngården, Lantkompaniet; typiskt < 200 kr.",FAIL (hyllan: Biltema + Granngården + Lantkompaniet; presens kronisk).
HARD REJECT,MARKETPLACE FAILURE,present/hobby,Digital fiskevåg 50 kg med måttband,601099527328059,https://www.temu.com/se/g-601099527328059.html,UNKNOWN,nej,28,GIFT,Jula Kayoba Digital fiskevåg 50 kg med måttband — 149 kr (ur sökutdrag); Biltema digital våg 50 kg / hängvåg 40 kg — 149 kr,ej sett,Jula Kayoba digital fiskevåg med måttband 149 kr.,REJECT.
HARD REJECT,MARKETPLACE FAILURE,evergreen,Nyckelskåp med kodlås för utomhusbruk (vägg),606012115415615,https://www.temu.com/se/g-606012115415615.html,"5.0 USD (seznam-snippet 2026-09-05: $5, ★5,0 / 100 % (10))",nej,28,EVERGREEN,"Clas Ohlson 'Väderbeständigt nyckelskåp med kombinationslås' 299 kr — KEDJAN, SAMMA FORM — 299 kr",ej sett,Clas Ohlson väderbeständigt nyckelskåp 299 kr.,FAIL (hylla)
HARD REJECT,MARKETPLACE FAILURE,present/hobby,Magnetiskt verktygsarmband för skruvar och bits,601099542754983,https://www.temu.com/se/g-601099542754983.html,UNKNOWN,nej,25,GIFT,"Jula Meec Tools Magnetiskt armband 390×90 mm (pris oläst, 403 — Meec-armbandet ligger normalt 99–149 kr); Coolpriser WrisTool",ej sett,Jula Meec Tools magnetarmband; kan inte prissättas över 199 kr.,REJECT.
HARD REJECT,MARKETPLACE FAILURE,evergreen,Hundbälte för bil med ISOFIX-/bältesfäste,605586158624069,https://www.temu.com/se/g-605586158624069.html,"4.0 USD (seznam-snippet 2026-09-05: 605586158624069 = $4, ★5,0 / 100 % (14); 605514972926483 ★5,0 / 100 % (99+) utan pris)",nej,25,EVERGREEN,"Hundliv 'Rukka Car säkerhetsbälte Isofix' från 149 kr; Biltema 'Säkerhetssele hund' 2000036342 (kedja; nypris 199 kr enligt Tradera-säljare, ej läst på Biltema — 403); Jula bilsele (403) — 149 kr",ej sett,Rukka ISOFIX-bälte från 149 kr hos Hundliv; Biltema.,FAIL (hylla + negativ rymd)
HARD REJECT,CONCEPT FAILURE,dolda pärlor,Uppladdningsbara värmesulor med fjärrkontroll (fotvärmare för jakttornet),601099527947747,https://www.temu.com/se/g-601099527947747.html,UNKNOWN,nej,25,Q4 NOW (jakt) / GIFT,"Jula Bluewear 'Batteriuppvärmda sulor 38–46' (3×AA, 2 h, 45 °C, pris ej läst); Testvinnarna/Outdoor.se listar Therm-ic och Heat Experience (app-styrda, uppladdningsbara)",ej sett,Personlig passform; Jula Bluewear; Therm-ic/Heat Experience annonserar.,FAIL (personlig passform + Jula + märkesannonsörer).
HARD REJECT,MARKETPLACE FAILURE,evergreen,Borrmaskins-/skruvdragarhölster för bältet (metallclips),601099584348061,https://www.temu.com/se/g-601099584348061.html,"4.0 USD (seznam-snippet: 601100669175066 = $4, ★5,0 / 100 % (14); 601099584348061 ★4,9 / 98 % (80) utan pris)",nej,24,EVERGREEN,"CDON 'Skruvdragare hölster' 119 kr; VerktygsPartner hölster/verktygsficka 140 kr; Jula Bluewear borrmaskinshölster (kedja, pris ej läst — 403) — 119 kr",ej sett,CDON skruvdragarhölster 119 kr.,FAIL (hylla)
HARD REJECT,MARKETPLACE FAILURE,evergreen,Bagagerumsorganizer hopfällbar med lock (verktyg/jaktgrejer),601100318211025,https://www.temu.com/se/g-601100318211025.html,UNKNOWN,nej,22,EVERGREEN,"Jula 'Bagagerumslåda Hamron' 619292 hopfällbar, 2+2 fack, 199 kr (ur sökutdrag) — KEDJAN, SAMMA FORM; Biltema 'Bagageutrymmeslåda' 2000030722 — 199 kr",ej sett,Jula Hamron bagagerumslåda 199 kr.,FAIL (hylla)
HARD REJECT,MARKETPLACE FAILURE,dolda pärlor,"Uppladdningsbar handvärmare 10 000 mAh (powerbank, dubbelsidig, 2-pack)",601099638648365,https://www.temu.com/se/g-601099638648365.html,UNKNOWN,nej,22,BLACK WEEK / GIFT,"Clas Ohlson 'Handvärmare återanvändbar, elektrisk, USB-C, laddbar, 5000 mAh, 3 lägen' (art. 31-8982, pris ej läst); Biltema Handvärmare (2000042043); Jula engångs 20 kr; Kjell & Company kategori",ej sett,"Clas, Biltema, Jula, Kjell; inget ägt objekt; gåvovinkel.",FAIL (hyllan + inget ägt objekt + gåvovinkel).
HARD REJECT,LISTING FAILURE,evergreen,Lyktskydd/galler för släpvagnens baklyktor (koncept — ingen Temu-listning),,https://www.temu.com/search_result.html?search_key=trailer%20tail%20light%20guard%20protector  (söklänk — ingen produktlistning finns på Temu),UNKNOWN,nej,20,EVERGREEN,Nettotrailer 'Lampskydd / skydd för baklykta på släpvagn – stor' 173 kr — 173 kr,—,Ingen Temu-listning; Nettotrailer 173 kr i formen.,FAIL
HARD REJECT,CONCEPT FAILURE,dolda pärlor,"Värmeväst med batteri (5 V/7,4 V)",601101373614212,https://www.temu.com/se/g-601101373614212.html,UNKNOWN,nej,18,BLACK WEEK / GIFT,Jula värmevästar Yukon/Alaska/Aspen (batteri 549 kr säljs separat i outlet); Bucken värmeväst; Amazon.se dussintals; Biltema värmedynor,ej sett,Personlig passform (kläder) = negativ rymd; Jula tre egna modeller; Amazon.se fullt.,FAIL (negativ rymd: personlig passform; hyllan: Jula + Amazon.se).
HARD REJECT,MARKETPLACE FAILURE,evergreen,Nackstödshängare / säteskrok för kassar,601099613123375,https://www.temu.com/se/g-601099613123375.html,"3.0 USD (seznam-snippet: 606313752979165 = $3; 601099613123375 ★4,8 / 96 % (99+) utan pris)",nej,12,EVERGREEN,"Jula nackstödsfäste från 99,90 kr; CDON bilkrokar 10-pack 89 kr (ur sökutdrag); Biltema 'Krokar och hängare' kategori — 89 kr",ej sett,"Jula 99,90 / CDON 10-pack 89 kr. Ingen ägarsignal.",FAIL
HARD REJECT,MARKETPLACE FAILURE,evergreen,Gap filler / förvaring mellan säte och mittkonsol,601099537797127,https://www.temu.com/se/g-601099537797127.html,UNKNOWN,nej,10,EVERGREEN,"Fyndiq 'Sätets gap filler organizer' (pris ej läst) + mittkonsolkuddar 123–188 kr; Biltema 'Smart förvaring mellan säte och mittkonsol' 2000038023 (kedja, pris ej läst) — 123 kr",ej sett,Biltema + Fyndiq 123–188 kr; commodity.,FAIL
HARD REJECT,MARKETPLACE FAILURE,bänk (fas 1 / V2.2 / batch 1),"Säkerhetsbom dörr/fönster, teleskopisk 52""",601099970240430,https://www.temu.com/se/g-601099970240430.html,"20,75 USD · ★4,8 (425) · 3 bilder · video",ja,,Q4 NOW,Fyndiq 261 kr identisk i lager; Amazon.se Fishtec/Olympia; Skyddsfaktorns stålbommar 1 730–3 850 är annan klass,PASS — textfri hero med två kontextbilder; videon studio,Marketplace-golvet under vårt pris. Konceptet (fritidshuset stängs) var batch 1:s enda TEST.,—
HARD REJECT,PRICE FAILURE,bänk (fas 1 / V2.2 / batch 1),Rensbräda båt med spöhållarfäste,601099564703752,https://www.temu.com/se/g-601099564703752.html,"53,23 USD · ★4,8 (117) · 1 bild · ingen video",ja,,OCTOBER,Olssons Fiske rensbord till spöhållare 549 kr (ord. 659); Moory har kategorin,"1 bild, ej bedömt",Landad 556–651 kr. Formen är strukturellt för dyr på Temu.,—
